Town,Total Population,Total Population 90% MoE,Total Population in Poverty,Total Population in Poverty 90% MOE,Pct Population in Poverty,Pct Population in Poverty 90% MOE,Total Population Income 1-2x Poverty,Total Population Income 1-2x Poverty 90% MOE,Pct Population Income 1-2x Poverty,Pct Population Income 1-2x Poverty 90% MOE,Total Population Under 18,Total Population Under 18 90% MOE,Total Children in Poverty,Total Children in Poverty 90% MOE,Pct Children in Poverty,Pct Children in Poverty 90% MOE,Total Children Income 1-2x Poverty,Total Children Income 1-2x Poverty 90% MOE,Pct Children Income 1-2x Poverty,Pct Children Income 1-2x Poverty 90% MOE
South Windsor,25756,29,1140,685,0.045,0.027,1491,607,0.058,0.024,6369,569,418,312,0.067,0.051,467,259,0.075,0.042
Suffield,15731,24,551,381,0.042,0.029,749,276,0.057,0.021,3205,377,174,183,0.055,0.058,180,122,0.057,0.039
West Hartford,63340,41,4513,701,0.073,0.011,6188,849,0.101,0.014,14162,688,1063,276,0.076,0.02,1439,324,0.102,0.023
Wethersfield,26590,86,1537,393,0.058,0.015,2369,468,0.09,0.018,5630,466,307,119,0.055,0.022,500,190,0.089,0.035
Windsor,29100,34,1524,443,0.053,0.016,2579,553,0.09,0.019,6462,537,482,155,0.075,0.025,811,218,0.126,0.035
Windsor Locks,12531,24,983,353,0.079,0.028,1188,331,0.095,0.026,2385,308,259,118,0.109,0.052,233,132,0.098,0.057
Barkhamsted,3772,18,43,30,0.012,0.008,89,60,0.024,0.016,890,178,0,36,0,0.042,15,51,0.018,0.06
Bethlehem,3585,18,168,80,0.048,0.023,422,233,0.119,0.066,678,150,0,36,0,0.056,171,115,0.268,0.194
Bridgewater,1729,110,42,24,0.024,0.014,257,108,0.149,0.062,331,71,0,36,0,0.109,101,71,0.305,0.227
Canaan,1148,108,81,33,0.071,0.028,178,70,0.156,0.059,178,42,12,34,0.07,0.2,17,43,0.099,0.249
Colebrook,1523,119,54,28,0.036,0.018,157,76,0.106,0.051,306,59,17,36,0.058,0.124,34,50,0.116,0.171
Cornwall,1519,188,187,106,0.123,0.068,168,57,0.111,0.035,374,80,97,61,0.259,0.177,37,38,0.099,0.105
Goshen,2953,29,339,180,0.115,0.061,235,120,0.08,0.041,571,161,47,65,0.082,0.115,40,50,0.07,0.089
Harwinton,5636,54,237,137,0.042,0.024,356,168,0.063,0.03,1177,181,88,78,0.076,0.068,59,72,0.051,0.062
Kent,2964,16,262,124,0.094,0.045,375,182,0.135,0.065,564,151,68,67,0.121,0.124,88,79,0.156,0.147
Litchfield,8406,22,569,224,0.069,0.027,831,229,0.1,0.028,1889,226,187,93,0.1,0.052,223,108,0.12,0.06
Morris,2380,127,135,75,0.057,0.031,289,115,0.122,0.048,498,90,12,38,0.024,0.078,66,55,0.134,0.113
