"Town","Total Population","MoE Total Population","Ages 0-17","MoE Ages 0-17","Pct Ages 0-17","MoE Pct Ages 0-17","Ages 65+","MoE Ages 65+","Pct Ages 65+","MoE Pct Ages 65+","Hispanic Population","MoE Hispanic Population","Pct Hispanic","MoE Pct Hispanic","White Population","MoE White Population","Pct White","MoE Pct White","Black Population","MoE Black Population","Pct Black","MoE Pct Black","Other Race Population","MoE Other Race Population","Pct Other Race","MoE Pct Other Race","Homeowners","MoE Homeowners","Homeownership Rate","MoE Homeownership Rate","Foreign-born Population","MoE Foreign-born Population","Pct Foreign-born","MoE Pct Foreign-born","Poverty Status Determined","MoE Poverty Status Determined","Population in Poverty","MoE Population in Poverty","Poverty Rate","MoE Poverty Rate","Population Low Income","MoE Population Low Income","Pct Low Income","MoE Pct Low Income","Ages 0-17 In Poverty","MoE Ages 0-17 In Poverty","Pct Ages 0-17 in Poverty","MoE Pct Ages 0-17 in Poverty","Ages 0-17 Income 1-2x Poverty","MoE Ages 0-17 Income 1-2x Poverty","Pct Ages 0-17 Income 1-2x Poverty","MoE Pct Ages 0-17 Income 1-2x Poverty","Ages 65+ In Poverty","MoE Ages 65+ In Poverty","Pct Ages 65+ in Poverty","MoE Pct Ages 65+ in Poverty","Ages 65+ Income 1-2x Poverty","MoE Ages 65+ Income 1-2x Poverty","Pct Ages 65+ Income 1-2x Poverty","MoE Pct Ages 65+ Income 1-2x Poverty"
"Glastonbury",34551,28,8884,560,0.257,0.016,5193,410,0.15,0.012,1294,241,0.037,0.007,29164,600,0.844,0.017,660,272,0.019,0.008,3433,555,0.099,0.016,10717,315,0.822,0.015,4016,491,0.116,0.014,34268,112,1097,335,0.032,0.01,2587,497,0.075,0.015,260,151,0.029,0.017,704,231,0.079,0.027,243,107,0.049,0.022,628,182,0.127,0.038
"Granby",11284,28,2710,346,0.24,0.031,1707,234,0.151,0.021,364,252,0.032,0.022,10459,282,0.927,0.025,160,119,0.014,0.011,301,167,0.027,0.015,4053,198,0.93,0.029,292,143,0.026,0.013,11207,42,228,107,0.02,0.01,476,171,0.042,0.015,31,61,0.011,0.023,48,82,0.018,0.031,26,42,0.016,0.026,242,91,0.148,0.058
"Hartford",125130,80,32216,1118,0.257,0.009,12127,618,0.097,0.005,54289,1439,0.434,0.012,20892,995,0.167,0.008,43752,1182,0.35,0.009,6197,707,0.05,0.006,11020,538,0.241,0.011,28771,1561,0.23,0.012,117359,652,39452,2133,0.336,0.018,30335,2124,0.258,0.018,14256,953,0.45,0.034,9525,835,0.301,0.028,2613,323,0.226,0.03,3551,370,0.307,0.035
"Hartland",2257,120,519,73,0.23,0.035,389,67,0.172,0.031,18,14,0.008,0.006,2158,123,0.956,0.075,17,16,0.008,0.007,64,31,0.028,0.014,718,51,0.918,0.043,89,43,0.039,0.019,2247,117,115,56,0.051,0.025,188,78,0.084,0.035,17,32,0.033,0.064,84,45,0.165,0.09,51,42,0.131,0.11,30,36,0.077,0.093
"Manchester",58196,34,12555,761,0.216,0.013,7597,476,0.131,0.008,8350,1049,0.143,0.018,36610,1019,0.629,0.018,7182,925,0.123,0.016,6054,781,0.104,0.013,13428,588,0.56,0.021,8511,837,0.146,0.014,57655,116,6031,1033,0.105,0.018,9142,1233,0.159,0.021,2085,481,0.167,0.04,2960,489,0.236,0.042,371,139,0.051,0.019,1306,248,0.18,0.036
"Marlborough",6398,30,1674,282,0.262,0.044,842,202,0.132,0.032,250,174,0.039,0.027,6031,220,0.943,0.035,42,66,0.007,0.01,75,78,0.012,0.012,1964,147,0.896,0.054,484,241,0.076,0.038,6254,84,63,66,0.01,0.011,479,386,0.077,0.062,0,51,0,0.031,253,171,0.155,0.107,0,42,0,0.056,0,54,0,0.072
"New Britain",73112,35,16862,884,0.231,0.012,9338,541,0.128,0.007,28194,1332,0.386,0.018,33664,1134,0.46,0.016,7545,935,0.103,0.013,3709,695,0.051,0.01,11489,578,0.411,0.018,14424,1093,0.197,0.015,70023,341,15658,1478,0.224,0.021,16535,1508,0.236,0.022,5184,623,0.312,0.041,5062,640,0.304,0.042,1063,234,0.121,0.028,2743,360,0.312,0.045
"Newington",30606,34,5721,448,0.187,0.015,5638,400,0.184,0.013,2347,541,0.077,0.018,24312,802,0.794,0.026,1534,551,0.05,0.018,2413,483,0.079,0.016,10464,395,0.827,0.025,5342,523,0.175,0.017,30228,139,1329,321,0.044,0.011,2869,602,0.095,0.02,271,128,0.048,0.023,791,250,0.14,0.045,329,117,0.061,0.022,762,160,0.142,0.032
"Plainville",17767,24,3675,451,0.207,0.025,2742,323,0.154,0.018,1175,338,0.066,0.019,15542,451,0.875,0.025,399,222,0.022,0.012,651,255,0.037,0.014,5579,328,0.732,0.033,1400,293,0.079,0.016,17619,101,1175,396,0.067,0.022,2783,691,0.158,0.039,316,204,0.087,0.057,911,335,0.25,0.097,178,113,0.067,0.044,596,164,0.225,0.067
"Rocky Hill",19743,47,4069,480,0.206,0.024,3046,340,0.154,0.017,1371,363,0.069,0.018,15148,688,0.767,0.035,475,193,0.024,0.01,2749,513,0.139,0.026,5419,326,0.668,0.03,3706,526,0.188,0.027,19426,111,1507,468,0.078,0.024,1968,539,0.101,0.028,295,183,0.072,0.046,435,197,0.107,0.05,317,162,0.114,0.06,450,163,0.162,0.062
