"Town","Total Population","MoE Total Population","Ages 0-17","MoE Ages 0-17","Pct Ages 0-17","MoE Pct Ages 0-17","Ages 65+","MoE Ages 65+","Pct Ages 65+","MoE Pct Ages 65+","Hispanic Population","MoE Hispanic Population","Pct Hispanic","MoE Pct Hispanic","White Population","MoE White Population","Pct White","MoE Pct White","Black Population","MoE Black Population","Pct Black","MoE Pct Black","Other Race Population","MoE Other Race Population","Pct Other Race","MoE Pct Other Race","Homeowners","MoE Homeowners","Homeownership Rate","MoE Homeownership Rate","Foreign-born Population","MoE Foreign-born Population","Pct Foreign-born","MoE Pct Foreign-born","Poverty Status Determined","MoE Poverty Status Determined","Population in Poverty","MoE Population in Poverty","Poverty Rate","MoE Poverty Rate","Population Low Income","MoE Population Low Income","Pct Low Income","MoE Pct Low Income","Ages 0-17 In Poverty","MoE Ages 0-17 In Poverty","Pct Ages 0-17 in Poverty","MoE Pct Ages 0-17 in Poverty","Ages 0-17 Income 1-2x Poverty","MoE Ages 0-17 Income 1-2x Poverty","Pct Ages 0-17 Income 1-2x Poverty","MoE Pct Ages 0-17 Income 1-2x Poverty","Ages 65+ In Poverty","MoE Ages 65+ In Poverty","Pct Ages 65+ in Poverty","MoE Pct Ages 65+ in Poverty","Ages 65+ Income 1-2x Poverty","MoE Ages 65+ Income 1-2x Poverty","Pct Ages 65+ Income 1-2x Poverty","MoE Pct Ages 65+ Income 1-2x Poverty"
"Groton",40126,42,8373,563,0.209,0.014,5220,383,0.13,0.01,4049,550,0.101,0.014,29838,706,0.744,0.018,1963,416,0.049,0.01,4276,577,0.107,0.014,7881,372,0.495,0.021,2927,418,0.073,0.01,36783,251,3178,609,0.086,0.017,5397,818,0.147,0.022,829,240,0.1,0.03,1837,417,0.221,0.052,367,115,0.075,0.024,931,209,0.191,0.045
"Lebanon",7322,36,1527,233,0.209,0.032,1115,208,0.152,0.028,260,207,0.036,0.028,6864,228,0.937,0.031,39,38,0.005,0.005,159,138,0.022,0.019,2422,149,0.88,0.026,220,106,0.03,0.014,7319,32,353,160,0.048,0.022,563,233,0.077,0.032,0,51,0,0.033,84,81,0.055,0.054,14,43,0.013,0.039,119,82,0.107,0.076
"Ledyard",15051,47,3605,379,0.24,0.025,1931,254,0.128,0.017,923,320,0.061,0.021,12309,397,0.818,0.027,245,140,0.016,0.009,1574,350,0.105,0.023,4794,212,0.848,0.024,1068,242,0.071,0.016,15047,48,585,310,0.039,0.021,1069,446,0.071,0.03,235,140,0.065,0.039,364,179,0.101,0.051,41,45,0.021,0.024,126,84,0.065,0.044
"Lisbon",4334,20,980,175,0.226,0.04,636,130,0.147,0.03,8,12,0.002,0.003,4215,78,0.973,0.019,1,4,0,0.001,110,74,0.025,0.017,1456,133,0.892,0.053,136,74,0.031,0.017,4330,21,118,84,0.027,0.019,524,210,0.121,0.048,28,53,0.029,0.054,116,81,0.118,0.085,11,32,0.017,0.051,122,60,0.192,0.101
"Lyme",2417,106,480,109,0.199,0.046,573,90,0.237,0.039,41,39,0.017,0.016,2323,108,0.961,0.061,0,12,0,0.005,53,38,0.022,0.016,844,78,0.813,0.063,110,42,0.046,0.017,2417,106,89,54,0.037,0.022,290,191,0.12,0.079,10,37,0.021,0.077,107,87,0.223,0.188,14,26,0.024,0.045,66,39,0.115,0.071
"Montville",19621,32,4020,465,0.205,0.024,2924,329,0.149,0.017,1627,492,0.083,0.025,14349,698,0.731,0.036,1094,327,0.056,0.017,2551,513,0.13,0.026,5483,333,0.784,0.037,1763,437,0.09,0.022,17977,229,950,430,0.053,0.024,2003,576,0.111,0.032,268,170,0.068,0.044,469,178,0.118,0.047,93,69,0.033,0.025,468,154,0.166,0.057
"New London",27588,41,5462,509,0.198,0.018,2608,287,0.095,0.01,8123,779,0.294,0.028,13578,827,0.492,0.03,4252,522,0.154,0.019,1635,412,0.059,0.015,3770,365,0.365,0.031,4435,676,0.161,0.025,23645,414,5889,849,0.249,0.036,4777,798,0.202,0.034,1992,420,0.376,0.088,1371,312,0.259,0.064,298,109,0.123,0.047,506,163,0.209,0.071
"North Stonington",5291,18,1097,227,0.207,0.043,762,181,0.144,0.034,177,150,0.033,0.028,4738,183,0.895,0.035,119,117,0.022,0.022,257,137,0.049,0.026,1790,160,0.877,0.067,299,120,0.057,0.023,5288,19,300,243,0.057,0.046,829,450,0.157,0.085,114,109,0.104,0.102,283,181,0.258,0.176,16,46,0.021,0.061,90,88,0.118,0.118
"Norwich",40424,50,9195,668,0.227,0.017,5638,487,0.139,0.012,4323,639,0.107,0.016,26205,752,0.648,0.019,4554,808,0.113,0.02,5342,674,0.132,0.017,8977,452,0.54,0.023,5575,689,0.138,0.017,39986,194,5984,1080,0.15,0.027,7240,1103,0.181,0.028,2201,514,0.245,0.06,1827,346,0.204,0.041,334,118,0.061,0.022,1204,253,0.22,0.049
"Old Lyme",7598,21,1489,220,0.196,0.029,1826,216,0.24,0.028,69,56,0.009,0.007,7285,178,0.959,0.024,21,30,0.003,0.004,223,165,0.029,0.022,2637,145,0.816,0.022,387,168,0.051,0.022,7597,21,233,150,0.031,0.02,626,227,0.082,0.03,53,56,0.036,0.038,122,90,0.082,0.061,74,59,0.041,0.033,249,105,0.136,0.06
"Preston",4751,41,964,182,0.203,0.038,796,133,0.168,0.028,133,97,0.028,0.02,3720,326,0.783,0.069,80,118,0.017,0.025,818,374,0.172,0.079,1467,155,0.801,0.067,431,208,0.091,0.044,4751,41,483,279,0.102,0.059,745,365,0.157,0.077,200,125,0.207,0.136,260,155,0.27,0.169,38,40,0.048,0.052,85,58,0.107,0.076
"Salem",4173,20,1048,151,0.251,0.036,463,111,0.111,0.027,189,153,0.045,0.037,3652,184,0.875,0.044,39,65,0.009,0.016,293,123,0.07,0.029,1370,80,0.929,0.009,386,176,0.092,0.042,4145,38,111,72,0.027,0.017,242,123,0.058,0.03,31,39,0.03,0.038,38,56,0.037,0.054,12,33,0.026,0.071,54,46,0.117,0.104
"Sprague",2986,20,650,136,0.218,0.045,398,97,0.133,0.032,59,55,0.02,0.018,2656,128,0.889,0.043,52,45,0.017,0.015,219,115,0.073,0.039,835,120,0.658,0.083,113,69,0.038,0.023,2947,57,256,164,0.087,0.056,238,126,0.081,0.043,105,88,0.172,0.149,27,49,0.044,0.081,39,47,0.098,0.121,44,58,0.111,0.148
"Stonington",18527,39,3551,326,0.192,0.018,3666,288,0.198,0.016,654,297,0.035,0.016,16751,403,0.904,0.022,267,240,0.014,0.013,855,256,0.046,0.014,5570,293,0.711,0.029,1010,202,0.055,0.011,18256,97,847,268,0.046,0.015,1879,507,0.103,0.028,193,111,0.055,0.032,220,126,0.062,0.036,180,82,0.051,0.024,497,128,0.142,0.038
"Voluntown",2608,19,524,101,0.201,0.039,338,72,0.13,0.028,69,43,0.026,0.016,2386,119,0.915,0.046,0,12,0,0.005,153,105,0.059,0.04,875,60,0.856,0.035,51,24,0.02,0.009,2608,19,60,38,0.023,0.015,295,154,0.113,0.059,9,33,0.017,0.064,76,63,0.145,0.123,25,31,0.074,0.094,72,45,0.213,0.139
"Waterford",19508,28,3850,377,0.197,0.019,3897,318,0.2,0.016,1015,371,0.052,0.019,16931,465,0.868,0.024,273,117,0.014,0.006,1289,331,0.066,0.017,6777,280,0.844,0.027,1539,267,0.079,0.014,19055,140,1034,273,0.054,0.014,1680,428,0.088,0.022,147,90,0.039,0.024,386,157,0.102,0.042,250,107,0.069,0.03,517,136,0.143,0.04
"Andover",3095,145,754,144,0.244,0.048,403,119,0.13,0.039,0,12,0,0.004,2847,196,0.92,0.077,94,84,0.03,0.027,154,108,0.05,0.035,980,82,0.888,0.04,109,51,0.035,0.016,3095,145,134,126,0.043,0.041,272,124,0.088,0.04,56,73,0.074,0.098,64,60,0.085,0.081,21,35,0.052,0.088,65,44,0.161,0.125
"Bolton",4971,22,931,150,0.187,0.03,767,139,0.154,0.028,271,154,0.055,0.031,4410,220,0.887,0.044,62,70,0.012,0.014,228,141,0.046,0.028,1738,117,0.851,0.037,485,173,0.098,0.035,4969,23,95,73,0.019,0.015,313,133,0.063,0.027,15,42,0.016,0.045,73,62,0.079,0.068,10,31,0.013,0.04,49,49,0.064,0.065
"Columbia",5476,22,1154,211,0.211,0.039,917,204,0.167,0.037,59,72,0.011,0.013,4797,341,0.876,0.062,124,118,0.023,0.022,496,301,0.091,0.055,1896,173,0.896,0.059,306,139,0.056,0.025,5468,28,219,115,0.04,0.021,621,436,0.114,0.08,9,50,0.008,0.044,263,165,0.228,0.148,28,46,0.031,0.051,131,106,0.143,0.12
"Coventry",12435,20,2519,380,0.203,0.031,1589,268,0.128,0.022,251,166,0.02,0.013,11876,234,0.955,0.019,47,80,0.004,0.006,261,125,0.021,0.01,4093,260,0.865,0.043,703,207,0.057,0.017,12412,29,384,204,0.031,0.016,822,288,0.066,0.023,72,74,0.029,0.03,114,111,0.045,0.045,18,44,0.011,0.027,304,133,0.191,0.09
"Ellington",15675,35,4067,489,0.259,0.031,1807,279,0.115,0.018,165,105,0.011,0.007,15065,253,0.961,0.016,104,116,0.007,0.007,341,171,0.022,0.011,4170,280,0.682,0.035,801,310,0.051,0.02,15675,35,300,173,0.019,0.011,1261,543,0.08,0.035,128,98,0.031,0.024,349,192,0.086,0.048,22,54,0.012,0.03,278,130,0.154,0.075
"Hebron",9638,30,2533,288,0.263,0.03,976,169,0.101,0.018,224,172,0.023,0.018,9105,221,0.945,0.023,36,52,0.004,0.005,273,153,0.028,0.016,2989,134,0.92,0.024,296,128,0.031,0.013,9626,33,124,70,0.013,0.007,606,273,0.063,0.028,6,49,0.002,0.019,207,132,0.082,0.053,40,47,0.041,0.049,128,81,0.131,0.086
"Mansfield",26379,37,2938,353,0.111,0.013,2112,283,0.08,0.011,1822,440,0.069,0.017,19755,598,0.749,0.023,1176,304,0.045,0.012,3626,435,0.137,0.016,3638,334,0.666,0.033,3014,408,0.114,0.015,13820,945,2431,491,0.176,0.033,1554,474,0.112,0.033,159,101,0.059,0.038,303,208,0.112,0.078,76,52,0.037,0.026,249,119,0.122,0.061
"Somers",11447,20,2226,262,0.194,0.023,1512,193,0.132,0.017,820,202,0.072,0.018,9262,331,0.809,0.029,889,170,0.078,0.015,476,198,0.042,0.017,2851,186,0.866,0.036,573,157,0.05,0.014,9366,225,404,171,0.043,0.018,619,241,0.066,0.026,111,102,0.05,0.046,199,104,0.089,0.048,74,56,0.05,0.038,188,74,0.127,0.052
"Stafford",12035,28,2605,323,0.216,0.027,1360,215,0.113,0.018,344,195,0.029,0.016,11229,285,0.933,0.024,95,115,0.008,0.01,367,214,0.03,0.018,3486,210,0.747,0.021,426,161,0.035,0.013,11878,99,1128,314,0.095,0.026,1494,434,0.126,0.037,271,135,0.105,0.054,436,168,0.169,0.069,125,76,0.101,0.064,289,101,0.234,0.09
"Tolland",14977,51,3946,400,0.263,0.027,1914,274,0.128,0.018,607,236,0.041,0.016,13751,312,0.918,0.021,38,42,0.003,0.003,581,249,0.039,0.017,5043,180,0.927,0.01,837,275,0.056,0.018,14891,66,309,159,0.021,0.011,886,348,0.059,0.023,50,65,0.013,0.017,269,163,0.068,0.042,36,55,0.02,0.03,206,112,0.112,0.064
"Union",1041,144,208,69,0.2,0.072,218,49,0.209,0.055,35,38,0.034,0.037,978,140,0.939,0.187,0,12,0,0.012,28,33,0.027,0.032,340,46,0.926,0.032,56,41,0.054,0.04,1025,143,8,14,0.008,0.014,65,44,0.063,0.042,2,34,0.01,0.178,18,46,0.094,0.241,3,27,0.014,0.125,23,29,0.106,0.135
"Vernon",29179,33,5242,479,0.18,0.016,4722,376,0.162,0.013,2229,381,0.076,0.013,23925,572,0.82,0.02,1604,415,0.055,0.014,1421,354,0.049,0.012,7485,396,0.564,0.025,2526,449,0.087,0.015,28819,159,2671,587,0.093,0.02,3700,663,0.128,0.023,811,271,0.158,0.055,754,237,0.147,0.048,174,77,0.039,0.017,934,220,0.208,0.052
"Willington",6018,16,1014,239,0.168,0.04,717,157,0.119,0.026,97,75,0.016,0.012,5721,162,0.951,0.027,0,17,0,0.003,200,143,0.033,0.024,1688,206,0.685,0.065,337,188,0.056,0.031,6018,16,743,328,0.123,0.054,733,315,0.122,0.052,71,66,0.07,0.067,183,119,0.18,0.123,38,50,0.053,0.07,127,81,0.177,0.118
"Ashford",4301,16,925,172,0.215,0.04,437,95,0.102,0.022,354,325,0.082,0.076,3769,316,0.876,0.074,47,59,0.011,0.014,131,81,0.03,0.019,1354,120,0.824,0.046,194,88,0.045,0.02,4266,38,233,134,0.055,0.031,685,372,0.161,0.087,78,62,0.088,0.071,273,131,0.307,0.156,11,32,0.025,0.073,24,39,0.055,0.089
"Brooklyn",8220,19,1845,302,0.224,0.037,1193,214,0.145,0.026,713,414,0.087,0.05,7052,459,0.858,0.056,178,106,0.022,0.013,277,155,0.034,0.019,2185,227,0.761,0.058,381,147,0.046,0.018,7689,185,817,367,0.106,0.048,1388,547,0.181,0.071,334,174,0.182,0.101,498,288,0.271,0.165,45,65,0.04,0.058,232,116,0.205,0.111
"Canterbury",5119,21,1170,228,0.229,0.044,669,147,0.131,0.029,0,17,0,0.003,5010,112,0.979,0.022,0,17,0,0.003,109,110,0.021,0.021,1757,127,0.872,0.02,103,69,0.02,0.013,5119,21,159,115,0.031,0.022,346,137,0.068,0.027,0,51,0,0.044,20,63,0.017,0.054,25,54,0.037,0.082,139,80,0.208,0.126
"Chaplin",2408,145,531,121,0.221,0.052,296,70,0.123,0.03,84,67,0.035,0.028,2252,182,0.935,0.094,27,41,0.011,0.017,45,60,0.019,0.025,689,65,0.772,0.052,48,34,0.02,0.014,2386,146,110,79,0.046,0.033,194,98,0.081,0.041,35,37,0.069,0.075,45,46,0.088,0.093,11,32,0.037,0.108,16,37,0.054,0.125
"Eastford",1650,133,340,61,0.206,0.04,245,45,0.148,0.03,38,32,0.023,0.019,1530,140,0.927,0.113,8,10,0.005,0.006,74,49,0.045,0.03,573,58,0.914,0.041,72,29,0.044,0.018,1637,129,49,29,0.03,0.018,121,49,0.074,0.03,9,33,0.027,0.099,16,40,0.047,0.118,14,24,0.059,0.103,26,34,0.109,0.146
"Hampton",1815,119,333,67,0.183,0.039,278,43,0.153,0.025,84,47,0.046,0.026,1672,129,0.921,0.093,9,10,0.005,0.006,50,40,0.028,0.022,597,56,0.838,0.062,40,18,0.022,0.01,1802,118,115,60,0.064,0.033,141,53,0.078,0.029,27,35,0.084,0.111,25,45,0.078,0.14,8,26,0.029,0.093,43,29,0.155,0.107
"Killingly",17317,22,3650,392,0.211,0.023,2427,308,0.14,0.018,507,255,0.029,0.015,16037,369,0.926,0.021,187,128,0.011,0.007,586,276,0.034,0.016,4726,325,0.7,0.042,699,199,0.04,0.012,17059,120,1921,471,0.113,0.028,2899,571,0.17,0.033,495,204,0.136,0.058,519,174,0.142,0.05,165,100,0.075,0.047,775,205,0.352,0.104
"Plainfield",15320,30,3348,396,0.219,0.026,2057,276,0.134,0.018,579,280,0.038,0.018,13975,434,0.912,0.028,221,193,0.014,0.013,545,242,0.036,0.016,4269,270,0.755,0.038,394,167,0.026,0.011,15181,92,1477,476,0.097,0.031,1598,423,0.105,0.028,571,223,0.171,0.069,445,185,0.133,0.057,78,74,0.04,0.039,390,142,0.202,0.079
"Pomfret",4219,21,1046,226,0.248,0.054,470,93,0.111,0.022,57,53,0.014,0.013,4048,95,0.959,0.023,56,56,0.013,0.013,58,81,0.014,0.019,1203,112,0.8,0.038,170,100,0.04,0.024,4121,60,120,102,0.029,0.025,203,112,0.049,0.027,0,36,0,0.035,32,57,0.031,0.056,28,35,0.06,0.075,56,43,0.119,0.094
"Putnam",9548,42,2321,336,0.243,0.035,1570,246,0.164,0.026,310,263,0.032,0.028,8847,327,0.927,0.034,91,57,0.01,0.006,300,165,0.031,0.017,2155,264,0.56,0.058,196,79,0.021,0.008,9252,134,1040,313,0.112,0.034,2478,593,0.268,0.064,219,120,0.098,0.056,658,251,0.294,0.12,84,55,0.058,0.04,518,169,0.359,0.138
"Scotland",1739,110,411,82,0.236,0.049,220,47,0.127,0.028,85,57,0.049,0.033,1637,136,0.941,0.098,2,4,0.001,0.002,15,25,0.009,0.015,510,52,0.86,0.062,41,30,0.024,0.017,1739,110,34,25,0.02,0.015,229,111,0.132,0.063,18,35,0.044,0.084,84,55,0.204,0.14,7,29,0.032,0.13,39,37,0.177,0.173
"Sterling",3801,14,1038,229,0.273,0.06,304,105,0.08,0.028,35,37,0.009,0.01,3544,139,0.932,0.037,42,60,0.011,0.016,180,117,0.047,0.031,1021,110,0.84,0.068,74,47,0.019,0.012,3718,113,428,246,0.115,0.066,541,267,0.146,0.072,95,89,0.099,0.095,220,133,0.23,0.147,12,33,0.039,0.109,121,87,0.398,0.321
"Thompson",9411,16,1954,291,0.208,0.031,1274,203,0.135,0.022,141,105,0.015,0.011,8934,191,0.949,0.02,43,38,0.005,0.004,293,109,0.031,0.012,2933,221,0.804,0.048,235,104,0.025,0.011,9367,41,711,310,0.076,0.033,1302,386,0.139,0.041,223,139,0.116,0.074,301,164,0.156,0.088,42,47,0.033,0.037,336,119,0.264,0.1
"Windham",25315,26,4986,419,0.197,0.017,2938,336,0.116,0.013,8612,540,0.34,0.021,14462,468,0.571,0.018,1121,271,0.044,0.011,1120,281,0.044,0.011,4211,313,0.474,0.03,2881,494,0.114,0.02,22207,453,5495,820,0.247,0.037,4947,769,0.223,0.034,1711,373,0.35,0.083,1317,312,0.27,0.068,264,111,0.098,0.043,800,213,0.298,0.086
"Woodstock",7932,20,1853,316,0.234,0.04,1381,254,0.174,0.032,113,129,0.014,0.016,7575,201,0.955,0.025,39,63,0.005,0.008,205,117,0.026,0.015,2668,189,0.843,0.033,224,126,0.028,0.016,7916,34,236,134,0.03,0.017,615,264,0.078,0.033,43,67,0.023,0.037,70,99,0.038,0.054,78,83,0.056,0.061,169,106,0.122,0.08
